genus,epitet,author
Caulinia,graminea,(Del.) Batt.
Cedrus,,
Cedrus,libanensis,Juss.
Cedrus,libani,A. Rich.
Cedrus,libanotica,Link
Celosia,,
Celosia,çristata,L.
Celtis,,
Celtis,australis,L.
Celtis,tournefortii,Lam.
Cenchrus,,
Cenchrus,asperifolius,Desf.
Cenchrus,capitatus,L.
Cenchrus,ciliaris,L.
Cephalanthera,,
Cephalanthera,damasonium,(Mill.) Druce
Cephalanthera,ensifolia,Murr.) L. C. Rich.
Cephalanthera,epipactoides,Fisch. et Mey.
Cephalanthera,kurdica,Bornm.
Cephalanthera,longifolia,(Huds.) Fritsch
Cephalanthera,pallens,"(Jundz.) L. G. Rich,"
Cephalanthera,rubra,(L.) L. C. Rich.
Gerastium,,
Gerastium,anomalum,Walsdt. et Kit.
Gerastium,brachypetalum,Pers.
Gerastium,cerastoides,(L.) Britton.
Gerastium,comatum,Desv.
Gerastium,dichotomum,L.
Gerastium,dubium,(Bast.) Schw.
Gerastium,fragillimum,Fries
Gerastium,glaucum,Gren. et Godr.
Gerastium,glomeratum,Thuill.
Gerastium,glutinosum,Fries
Gerastium,illyricum,Ser.
Gerastium,inflatum,Link
Gerastium,kotschyi,Boiss.
Gerastium,luridum,Guss.
Gerastium,pentandrum,L.
Gerastium,perfoliatum,L.
Gerastium,pumilum,Curtis
Gerastium,rœseri,Boiss. et Heldr.
Gerastium,semidecandrum,L.
Gerastium,tenue,Viv.
Gerastium,˛rigynum,Willd.
Gerastium,viscosum,L.
Geterach,,
Geterach,officinarum,Lam. et D.C.
Cheilanthes,,
Cheilanthes,fragrans,Webb et Berth.
Cheilanthes,pteridioides,(Reich.) Christ.
Chenolea,,
Chenolea,arabica,Boiss.
Chenopodium,,
Chenopodium,album,L.
Chenopodium,ambrosioides,L.
Chenopodium,botrys,L.
Chenopodium,foliosum,(Mœnch) Asch.
Chenopodium,murale,L.
Chenopodium,opulifolium,Schrad.
Chenopodium,rubrum,L.
Chenopodium,scoparium,L.
Chenopodium,urbicum,L.
Chenopodium,virgatum,(L.) Ambrosi
Chenopodium,vulvaria,L.
Chrysopogon,,
Chrysopogon,gryllus,(L.) Trin.
Cladium,,
Cladium,mariscus,(L.) R. Br.
Colchicum,,
