genus,epitet,author
Cerasus,mahaleb,(L.) Mill.
Cerasus,microcarpa,(C.A; Mey.) C. Koch
Cerasus,prostrata,(Lab.) Ser.
Cerasus,tortuosa,Boiss. et Hausskn. '
Ceratocapnos,,
Ceratocapnos,palaestina,Boiss.
Ceratocephalus,,
Ceratocephalus,falcafus,(L.) Pers.
Ceratocephalus,syriacus,Stev.
Ceratonia,,
Ceratonia,siliqua,L. ..
•Ceratophyllum,,
•Ceratophyllum,demersum,L.
Cercis,,
Cercis,siliquastrum,L.
Chaerophyllum,,
Chaerophyllum,aurantiacum,Post
Chaerophyllum,libanoticum,Boiss. et Ky
Chaerophyllum,macrospermum,Fisch. et Mey.
Chaerophyllum,nemorosum,M. Bieb.
Chaerophyllum,nodosum,(L.) Lam.
Chaerophyllum,syriacum,Hempr. et Ehrenb.
Chaetosciadium,,
Chaetosciadium,trichospermum,(L.) Boiss.
Chamaenerion,,
Chamaenerion,angttstifolium,(L.) Scop.
Chamaeplium,,
Chamaeplium,officinale,(L.) Wallr.
Cheilanthes,,
Cheilanthes,catanensis,(Cosentini) H.P. Fuchs
Cheilanthes,fragrans,(L.f.) Swartz
Cheilanthes,marantae,(L.) Domin
Cheilanthes,pteridioides,(Reich.) Christ.
Cheiranthus,,
Cheiranthus,bicornes,Sibth. et Smith
Cheiranthus,cheiri,L.
Cheiranthus,contortuplicatus,Steph.
Cheiranthus,fruticulosus,L.
Cheiranthus,longipetalus,Vent.
Cheiranthus,maritimus,L.
Cheiranthus,sulphureus,Banks et Sol.
Cheiranthus,tristis,L.
Chelidonium^,,
Chelidonium^,comiculatum,L.
Chelidonium^,dodecandrum,Forssk.
Chelidonium^,glaucium,L.
Chelidonium^,hybridum,L.
Ghesneya,,
Ghesneya,olivieri,Jaub. et Spach
Ghesneya,rhytidosperma,Jaub. et Spach
Chorispora,,
Chorispora,purpurascens,Banks et Sol.
Chorispora,syriaca,Boiss.
Chorispora,tenella,(Pall.) D.C.
Chrozophora,,
Chrozophora,hierosolymitana,Spreng.
Chrozophora,obliqua,(Vahl) A. dejuss.
Chrozophora,tinctoria,(L.) Raf.
Chrozophora,verbascifolia,(Willd.) A. Juss.
Chrysocamela,,~
Chrysocamela,velutina,(D.G.) Boiss.
Cicer,,
Cicer,arietinum,L.
Cicer,bîjugum,Rech. fil.
Cicer,ervoides,(Sieb.) Fenzl Brign.
Cicer,ervoides,(Sieb.) Fenzl Brign.
Cicer,incisum,(Willd.) K. Maly
Cicer,lens,Willd.
Cicer,pinnatifidum,Jaub. et Spach
Gircaea,,
Gircaea,lutetiana,L.
Cissus,,
Cissus,orientalis,Lam.
Cistus,,
